Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
PointToPoint,,,,,,,,
"PointToPoint / cutOffTimes",cutOffTimes,"CutOffTime list",,,,,"A list of cut-offs times provided by the carrier when available. A cut-off time indicates the latest date and time by which a task must be completed. For example, the latest date and time by which a container must be delivered to a terminal to be loaded on a vessel, or where certain documentation must be provided by the Shipper.",
"PointToPoint / cutOffTimes / cutOffDateTime",cutOffDateTime,"string(date-time)",yes,,,2019-11-12T07:41-08:30,"Estimated cut-off time expressed in local time with offset.",
"PointToPoint / cutOffTimes / cutOffDateTimeCode",cutOffDateTimeCode,string,yes,maxLength=3,,DCO,"Code for the cut-off time. Possible values are:
  - `DCO` (Documentation cut-off)
  - `VCO` (VGM cut-off)
  - `FCO` (FCL delivery cut-off)
  - `LCO` (LCL delivery cut-off) **Condition:** only when the `Receipt Type at Origin` is `CFS`
  - `PCO` (Port cut-off)
  - `ECP` (Empty container pick-up date and time)
  - `EFC` (Earliest full-container delivery date)
  - `RCO` (Reefer cut-off)
  - `DGC` (Dangerous Goods cut-off)
  - `OBC` (OOG/BB cut-off)
  - `TCO` (Transhipment cut-off)
  - `STA` (Standard booking acceptance)
  - `SPA` (Special booking acceptance)
  - `CUA` (Customs Acceptance)
  - `AFC` (Advanced filling cut-off)",
"PointToPoint / deliveryTypeAtDestination","deliveryTypeAtDestination",string,,maxLength=3,,CY,"Indicates the type of service offered at `Destination`. The options are:
- `CY` (Container yard (incl. rail ramp))
- `SD` (Store Door)
- `CFS` (Container Freight Station)",
"PointToPoint / legs",legs,"Leg list",yes,minItems=1,,,,
"PointToPoint / legs / arrival",arrival,PlaceOfArrival,yes,,,,"The Location specifying where the place of arrival is located.",
"PointToPoint / legs / arrival / dateTime",dateTime,"string(date-time)",yes,,,"2025-01-14T09:21+01:00","The local date and time, when the event will take place.",
"PointToPoint / legs / arrival / facilityTypeCode",facilityTypeCode,string,yes,maxLength=4,,POTE,"The code to identify the specific type of facility. The code indicates which role the facility plays during the transportCall.
- `BORD` (Border)
- `CLOC` (Customer Location)
- `COFS` (Container Freight Station)
- `OFFD` (Off Dock Storage)
- `DEPO` (Depot)
- `INTE` (Inland Terminal)
- `POTE` (Port Terminal)
- `PBPL` (Pilot Boarding Place)
- `BRTH` (Berth)
- `RAMP` (Ramp)
- `WAYP` (Waypoint)",
"PointToPoint / legs / arrival / location",location,Location,yes,,,,"The location can be specified using **any** of the nested structures:
  - `Address` (used to specify the location via an Address)
  - `UNLocationCode`
  - `Facility` (used to specify a location using a `facilityCode` and a `facilityCodeListProvider`)

  It is expected that if a location is specified in multiple ways (both as an `Address` and as a `Facility`) that both ways point to the same location.",
"PointToPoint / legs / arrival / location / address",address,Address,,,,,"An object for storing address related information.",
"PointToPoint / legs / arrival / location / address / city",city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
"PointToPoint / legs / arrival / location / address / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"PointToPoint / legs / arrival / location / address / floor",floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
"PointToPoint / legs / arrival / location / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code.",
"PointToPoint / legs / arrival / location / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"PointToPoint / legs / arrival / location / address / street",street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
"PointToPoint / legs / arrival / location / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"PointToPoint / legs / arrival / location / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.

**Condition:** Providers **or** consumers on API v1.0.1 (or earlier): `addressLines` cannot be used as the only property to identify the location.
Item description:
One line of an unstructured `Address`.",
"PointToPoint / legs / arrival / location / facility",facility,Facility,,,,,"A way to express a location using a `Facility`. The facility can either be expressed using a `BIC` code or a `SMDG` code. The `facilityCode` does not contain the `UNLocationCode` - this should be provided in the `UnLocationCode` attribute.",
"PointToPoint / legs / arrival / location / facility / facilityCode",facilityCode,string,yes,maxLength=6,"^\S(?:.*\S)?$",ADT,"The code used for identifying the specific facility. This code does not include the UN Location Code.The definition of the code depends on the `facilityCodeListProvider`. As code list providers maintain multiple codeLists the following codeList is used:
  - for `SMDG` - the codeList used is the [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/)
  - for `BIC`  - the codeList used is the [BIC Facility Codes](https://www.bic-code.org/facility-codes/)",
"PointToPoint / legs / arrival / location / facility / facilityCodeListProvider",facilityCodeListProvider,string,yes,,,SMDG,"The provider used for identifying the facility Code. Some facility codes are only defined in combination with an `UN Location Code`.
- `BIC` (Requires a UN Location Code)
- `SMDG` (Requires a UN Location Code)",
"PointToPoint / legs / arrival / location / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility.",
"PointToPoint / legs / arrival / location / locationName",locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","An optional name for the location.",
"PointToPoint / legs / arrival / location / UNLocationCode",UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"PointToPoint / legs / arrival / transportCallReference",transportCallReference,string,,maxLength=100,,"SR11111X-9321483-2107W-NLAMS-ACT-1-1","The unique reference for the arrival transport call. It's the vessel operator's responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator.

**Note:** This property takes precedence over the `transportCallReference` in the Vessel-Transport or Barge-Transport objects. If both this property and a `transportCallReference` in the Vessel-Transport or Barge-Transport objects are provided- the `transportCallReference` in those objects must be ignored.",
"PointToPoint / legs / cutOffTimes",cutOffTimes,"CutOffTime list",,,,,"A list of cut-offs times provided by the carrier when available for this particular leg. A cut-off time indicates the latest date and time by which a task must be completed. For example, the latest date and time by which certain documentation must be provided by the Shipper.",
"PointToPoint / legs / cutOffTimes / cutOffDateTime",cutOffDateTime,"string(date-time)",yes,,,2019-11-12T07:41-08:30,"Estimated cut-off time expressed in local time with offset.",
"PointToPoint / legs / cutOffTimes / cutOffDateTimeCode",cutOffDateTimeCode,string,yes,maxLength=3,,DCO,"Code for the cut-off time. Possible values are:
  - `DCO` (Documentation cut-off)
  - `VCO` (VGM cut-off)
  - `FCO` (FCL delivery cut-off)
  - `LCO` (LCL delivery cut-off) **Condition:** only when the `Receipt Type at Origin` is `CFS`
  - `PCO` (Port cut-off)
  - `ECP` (Empty container pick-up date and time)
  - `EFC` (Earliest full-container delivery date)
  - `RCO` (Reefer cut-off)
  - `DGC` (Dangerous Goods cut-off)
  - `OBC` (OOG/BB cut-off)
  - `TCO` (Transhipment cut-off)
  - `STA` (Standard booking acceptance)
  - `SPA` (Special booking acceptance)
  - `CUA` (Customs Acceptance)
  - `AFC` (Advanced filling cut-off)",
"PointToPoint / legs / departure",departure,PlaceOfDeparture,yes,,,,"The Location specifying where the place of departure is located.",
"PointToPoint / legs / departure / dateTime",dateTime,"string(date-time)",yes,,,"2025-01-14T09:21+01:00","The local date and time, when the event will take place.",
"PointToPoint / legs / departure / facilityTypeCode",facilityTypeCode,string,yes,maxLength=4,,POTE,"The code to identify the specific type of facility. The code indicates which role the facility plays during the transportCall.
- `BORD` (Border)
- `CLOC` (Customer Location)
- `COFS` (Container Freight Station)
- `OFFD` (Off Dock Storage)
- `DEPO` (Depot)
- `INTE` (Inland Terminal)
- `POTE` (Port Terminal)
- `PBPL` (Pilot Boarding Place)
- `BRTH` (Berth)
- `RAMP` (Ramp)
- `WAYP` (Waypoint)",
"PointToPoint / legs / departure / location",location,Location,yes,,,,"The location can be specified using **any** of the nested structures:
  - `Address` (used to specify the location via an Address)
  - `UNLocationCode`
  - `Facility` (used to specify a location using a `facilityCode` and a `facilityCodeListProvider`)

  It is expected that if a location is specified in multiple ways (both as an `Address` and as a `Facility`) that both ways point to the same location.",
"PointToPoint / legs / departure / location / address",address,Address,,,,,"An object for storing address related information.",
"PointToPoint / legs / departure / location / address / city",city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
"PointToPoint / legs / departure / location / address / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"PointToPoint / legs / departure / location / address / floor",floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
"PointToPoint / legs / departure / location / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code.",
"PointToPoint / legs / departure / location / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"PointToPoint / legs / departure / location / address / street",street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
"PointToPoint / legs / departure / location / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"PointToPoint / legs / departure / location / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.

**Condition:** Providers **or** consumers on API v1.0.1 (or earlier): `addressLines` cannot be used as the only property to identify the location.
Item description:
One line of an unstructured `Address`.",
"PointToPoint / legs / departure / location / facility",facility,Facility,,,,,"A way to express a location using a `Facility`. The facility can either be expressed using a `BIC` code or a `SMDG` code. The `facilityCode` does not contain the `UNLocationCode` - this should be provided in the `UnLocationCode` attribute.",
"PointToPoint / legs / departure / location / facility / facilityCode",facilityCode,string,yes,maxLength=6,"^\S(?:.*\S)?$",ADT,"The code used for identifying the specific facility. This code does not include the UN Location Code.The definition of the code depends on the `facilityCodeListProvider`. As code list providers maintain multiple codeLists the following codeList is used:
  - for `SMDG` - the codeList used is the [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/)
  - for `BIC`  - the codeList used is the [BIC Facility Codes](https://www.bic-code.org/facility-codes/)",
"PointToPoint / legs / departure / location / facility / facilityCodeListProvider",facilityCodeListProvider,string,yes,,,SMDG,"The provider used for identifying the facility Code. Some facility codes are only defined in combination with an `UN Location Code`.
- `BIC` (Requires a UN Location Code)
- `SMDG` (Requires a UN Location Code)",
"PointToPoint / legs / departure / location / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility.",
"PointToPoint / legs / departure / location / locationName",locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","An optional name for the location.",
"PointToPoint / legs / departure / location / UNLocationCode",UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"PointToPoint / legs / departure / transportCallReference",transportCallReference,string,,maxLength=100,,"SR11111X-9321483-2107W-NLAMS-ACT-1-1","The unique reference for the departure transport call. It's the vessel operator's responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator.

**Note:** This property takes precedence over the `transportCallReference` in the Vessel-Transport or Barge-Transport objects. If both this property and a `transportCallReference` in the Vessel-Transport or Barge-Transport objects are provided- the `transportCallReference` in those objects must be ignored.",
"PointToPoint / legs / footprint",footprint,Footprint,,,,,"Estimated footprint emission values for this particular leg.",
"PointToPoint / legs / footprint / co2",co2,number,,,,506.4,"CO<sub>2</sub> (Carbon Dioxide) emissions in metric tonnes (t).",
"PointToPoint / legs / footprint / co2e",co2e,number,,,,520.7,"CO<sub>2</sub>e (Carbon Dioxide equivalent) emissions in metric tonnes (t).",
"PointToPoint / legs / footprint / nox",nox,number,,,,15.4,"NO<sub>x</sub> (Nitrogen Oxide) emissions in kilograms (kg).",
"PointToPoint / legs / footprint / pm10",pm10,number,,,,0.8,"PM<sub>10</sub> (Small Particle) emissions in kilograms (kg).",
"PointToPoint / legs / footprint / sox",sox,number,,,,12.4,"SO<sub>x</sub> (Sulphur Oxide) emissions in kilograms (kg).",
"PointToPoint / legs / intermediateCalls",intermediateCalls,"IntermediateCall list",,,,,"The option to list all intermediate calls between `departure` and `arrival`.

Intermediate calls are calls where no transhipment and no change of mode of transport takes place.

This structure allows intermediate non-transhipment calls to be grouped under a single leg, enabling consumers to present them as collapsed or expanded elements in the user interface, instead of treating each call as a separate leg.

The list only includes calls taking place **between** the `departure` and `arrival` of the current leg.

The order of the list is the order of visits from `departure` to `arrival`.",
"PointToPoint / legs / intermediateCalls / arrivalDateTime",arrivalDateTime,"string(date-time)",,,,"2025-01-14T09:21+01:00","The local date and time, when the arrival will take place.",
"PointToPoint / legs / intermediateCalls / departureDateTime",departureDateTime,"string(date-time)",,,,"2025-01-14T09:21+01:00","The local date and time, when the departure will take place.",
"PointToPoint / legs / intermediateCalls / facilityTypeCode",facilityTypeCode,string,,maxLength=4,,POTE,"The code to identify the specific type of facility. The code indicates which role the facility plays during the transportCall.
- `BORD` (Border)
- `CLOC` (Customer Location)
- `COFS` (Container Freight Station)
- `OFFD` (Off Dock Storage)
- `DEPO` (Depot)
- `INTE` (Inland Terminal)
- `POTE` (Port Terminal)
- `PBPL` (Pilot Boarding Place)
- `BRTH` (Berth)
- `RAMP` (Ramp)
- `WAYP` (Waypoint)",
"PointToPoint / legs / intermediateCalls / location",location,Location,yes,,,,"The location can be specified using **any** of the nested structures:
  - `address` (used to specify the location via a **structured** Address)
  - `addressLines` (used to specify a location via an **unstructured** Address)
  - `UNLocationCode`
  - `Facility` (used to specify a location using a `facilityCode` and a `facilityCodeListProvider`)

  It is expected that if a location is specified in multiple ways (both as an `Address` and as a `Facility`) that both ways point to the same location.

  **Condition:** Providers **or** consumers on API v1.0.1 (or earlier): `addressLines` cannot be used as the only property to identify the location.",
"PointToPoint / legs / intermediateCalls / location / address",address,Address,,,,,"An object for storing address related information.",
"PointToPoint / legs / intermediateCalls / location / address / city",city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
"PointToPoint / legs / intermediateCalls / location / address / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"PointToPoint / legs / intermediateCalls / location / address / floor",floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
"PointToPoint / legs / intermediateCalls / location / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code.",
"PointToPoint / legs / intermediateCalls / location / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"PointToPoint / legs / intermediateCalls / location / address / street",street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
"PointToPoint / legs / intermediateCalls / location / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"PointToPoint / legs / intermediateCalls / location / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.

**Condition:** Providers **or** consumers on API v1.0.1 (or earlier): `addressLines` cannot be used as the only property to identify the location.
Item description:
One line of an unstructured `Address`.",
"PointToPoint / legs / intermediateCalls / location / facility",facility,Facility,,,,,"A way to express a location using a `Facility`. The facility can either be expressed using a `BIC` code or a `SMDG` code. The `facilityCode` does not contain the `UNLocationCode` - this should be provided in the `UnLocationCode` attribute.",
