Object,Attribute,Type,Required,Size,Pattern,Example,Description
CargoItemHBL,equipmentReference,string,yes,maxLength=11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG."
CargoItemHBL,outerPackaging,OuterPackagingHBL,yes,,,,"Object for outer packaging/overpack specification. Examples of overpacks are a number of packages stacked on to a pallet and secured by strapping or placed in a protective outer packaging such as a box or crate to form one unit for the convenience of handling and stowage during transport."
CargoItemShipper,cargoGrossVolume,CargoGrossVolume,,,,,"Calculated by multiplying the width, height, and length of the packed cargo."
CargoItemShipper,cargoGrossWeight,CargoGrossWeight,yes,,,,"The weight of the cargo item including packaging being carried in the container. Excludes the tare weight of the container."
CargoItemShipper,cargoNetVolume,CargoNetVolume,,,,,"Calculated by multiplying the width, height, and length of the cargo, excluding packaging."
CargoItemShipper,cargoNetWeight,CargoNetWeight,,,,,"The weight of the cargo item excluding packaging being carried in the container. Excludes the tare weight of the container."
CargoItemShipper,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`"
CargoItemShipper,equipmentReference,string,yes,maxLength=11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG."
CargoItemShipper,exportLicense,ExportLicenseShipper,,,,,"`Export License` requirements

**Condition:** Subject to local customs requirements and commodity."
CargoItemShipper,"extendedNationalCommodityCodes","ExtendedNationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `cargoItem`. The `extendedNationalCommodityCodes` support up to 16 character codes.

**Note:** If both `nationalCommodityCodes` and `extendedNationalCommodityCodes` are provided then `extendedNationalCommodityCodes` takes precedence and `nationalCommodityCodes` must be ignored."
CargoItemShipper,"houseBillOfLadingReference",string,,maxLength=20,"^\S(?:.*\S)?$",ABC123,"Link to the **House Bill of Lading** this `cargoItem` is connected to."
CargoItemShipper,importLicense,ImportLicenseShipper,,,,,"`Import License` requirements

**Condition:** Subject to local customs requirements and commodity."
CargoItemShipper,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `cargoItem`

**DEPRECATED:** This property is not to be used any more, please use `extendedNationalCommodityCodes` instead. If both `nationalCommodityCodes` and `extendedNationalCommodityCodes` are provided then `extendedNationalCommodityCodes` takes precedence and `nationalCommodityCodes` must be ignored."
CargoItemShipper,outerPackaging,OuterPackagingShipper,,,,,"Object for outer packaging/overpack specification. Examples of overpacks are a number of packages stacked on to a pallet and secured by strapping or placed in a protective outer packaging such as a box or crate to form one unit for the convenience of handling and stowage during transport.

**Condition:** Mandatory for non-dangerous goods cargo."
CargoNetVolume,unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)"
CargoNetVolume,value,"number(float)",yes,minimum=0,,2.4,"Calculated by multiplying the width, height, and length of the cargo, excluding packaging."
CargoNetWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)"
CargoNetWeight,value,"number(float)",yes,minimum=0,,2400,"The weight of the cargo item excluding packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided."
ConsigneeHBL,address,Address,,,,,"An object for storing address related information"
ConsigneeHBL,identifyingCodes,"IdentifyingCode list",,,,,
ConsigneeHBL,partyContactDetails,"PartyContactDetailHBL list",,,,,"A list of contact details"
ConsigneeHBL,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party."
ConsigneeHBL,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`"
ConsigneeHBL,typeOfPerson,string,yes,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)"
ConsigneeShipper,address,PartyAddress,,,,,"Address where the party is located. It is an object of the attributes below."
ConsigneeShipper,addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.

**Condition:** When communicating with providers **or** consumers implementing API **v3.0.2 or earlier**, a sender implementing API **v3.0.3 or later MUST NOT** use `addressLines` as the only property to identify the party. Recipients implementing earlier versions **MAY ignore** this property.
Item description:
One line of an unstructured `Address`."
ConsigneeShipper,displayedAddress,"string list",,"maxItems=6
maxLength=35",,,"The address of the party to be displayed on the `Transport Document`. The displayed address may be used to match the address provided in the `Letter of Credit`.

**Conditions:** If provided:
  - the displayed address must be included in the `Transport Document`.
  - for physical BL (`isElectronic=false`), it is only allowed to provide max 2 lines of 35 characters. **Note:** Some carriers may choose to allow more lines, please consult the carrier's API documentation to check if this is the case.
  - for electronic BL (`isElectronic=true`), the limit is 6 lines of 35 characters
  - the order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A single address line"
ConsigneeShipper,eblPlatform,string,,maxLength=4,"^\S+$",BOLE,"The eBL platform of the party. The value **MUST** be one of:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS - This value has been **deprecated**. Please use `IDT`)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `DOCU` (DocuTrade)
- `AEOT` (AEOTrade)
- `SGTD` (SGTraDex)"
ConsigneeShipper,identifyingCodes,"IdentifyingCode list",,,,,"**Condition:** Either the `address` or a party `identifyingCode` must be provided."
ConsigneeShipper,partyContactDetails,"PartyContactDetail list",,,,,"A list of contact details"
ConsigneeShipper,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party."
ConsigneeShipper,purchaseOrderReferences,"string list",,maxLength=35,"^\S(?:.*\S)?$",,"A list of `Purchase Order Reference`s linked to the `Consignee`.
Item description:
A purchase order reference linked to the `Consignee`."
ConsigneeShipper,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Consignee`."
ConsigneeShipper,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`"
ConsigneeShipper,typeOfPerson,string,,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)"
ConsignmentItemHBL,cargoItems,"CargoItemHBL list",yes,minItems=1,,,"A list of all `cargoItems`"
ConsignmentItemHBL,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`"
ConsignmentItemHBL,descriptionOfGoods,string,yes,maxLength=512,"^\S(?:.*\S)?$","blue shoes size 47","A plain language description that is precise enough for Customs services to be able to identify the goods. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted. Where the declarant provides the CUS code for chemical substances and preparations, Member States may waive the requirement of providing a precise description of the goods."
ConsignmentItemHBL,"extendedNationalCommodityCodes","ExtendedNationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `consignmentItem`. The `extendedNationalCommodityCodes` support up to 16 character codes.

**Note:** If both `nationalCommodityCode` and `extendedNationalCommodityCodes` are provided then `extendedNationalCommodityCodes` takes precedence and `nationalCommodityCode` must be ignored."
ConsignmentItemHBL,nationalCommodityCode,NationalCommodityCode,yes,,,,"The national commodity classification code linked to a country with a value.

An example could look like this:

| Type  | Country | Value |
|-------|:-------:|-------------|
|NCM|BR|['1515', '2106', '2507', '2512']|"
ConsignmentItemShipper,cargoItems,"CargoItemShipper list",yes,minItems=1,,,"A list of all `cargoItems`"
ConsignmentItemShipper,carrierBookingReference,string,yes,maxLength=35,"^\S(?:.*\S)?$",ABC709951,"The associated booking number provided by the carrier for this `Consignment Item`."
ConsignmentItemShipper,commoditySubReference,string,,maxLength=100,"^\S(?:.*\S)?$",COM-001,"A unique reference to the commodity object assigned by the carrier in the booking confirmation. The reference must be provided by the shipper as part of the `Shipping Instructions` for the carrier to link this consignment item to the commodity. A commodity reference is only unique in the context of a booking."
ConsignmentItemShipper,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`"
ConsignmentItemShipper,descriptionOfGoods,"string list",yes,"maxItems=150
maxLength=35","^\S(?:.*\S)?$",,"A plain language description that is precise enough for Customs services to be able to identify the goods. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A line describing the cargo"
ConsignmentItemShipper,"descriptionOfGoodsForCustoms","string list",,"maxItems=150
maxLength=35",,,"A detailed plain-language description of the goods provided specifically for customs filing purposes. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A line describing the cargo for filing purposes"
ConsignmentItemShipper,exportLicense,ExportLicenseShipper,,,,,
ConsignmentItemShipper,extendedHSCodes,"string list",,"minLength=6
maxLength=12","^\d{6,12}$",,"A list of `HS Codes` that apply to this `consignmentItem`. The `extendedHSCodes` support up to 12 character codes.

**Note:** If `extendedHSCodes` is provided - it always takes precedence over `HSCodes` (which is a required property but must be ignored).
Item description:
Used by customs to classify the product being shipped. The type of HS code depends on country and customs requirements. The code must be at least 6 and at most 12 digits.

More information can be found here: [HS Nomenclature](https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools)."
ConsignmentItemShipper,"extendedNationalCommodityCodes","ExtendedNationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `consignmentItem`. The `extendedNationalCommodityCodes` support up to 16 character codes.

**Note:** If both `nationalCommodityCodes` and `extendedNationalCommodityCodes` are provided then `extendedNationalCommodityCodes` takes precedence and `nationalCommodityCodes` must be ignored."
ConsignmentItemShipper,HSCodes,"string list",yes,"minItems=1
minLength=6
maxLength=10","^\d{6,10}$",,"A list of `HS Codes` that apply to this `consignmentItem`.

**DEPRECATED:** Because of backward compatibility it is required to provide a value in this property even though a value is provided in the `extendedHSCodes` property. In case both properties are provided (`extendedHSCodes` and `HSCodes`) - `HSCodes` must be ignored.
Item description:
Used by customs to classify the product being shipped. The type of HS code depends on country and customs requirements. The code must be at least 6 and at most 10 digits.

More information can be found here: [HS Nomenclature](https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools)."
ConsignmentItemShipper,importLicense,ImportLicenseShipper,,,,,
ConsignmentItemShipper,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `consignmentItem`

**DEPRECATED:** This property is not to be used any more, please use `extendedNationalCommodityCodes` instead. If both `nationalCommodityCodes` and `extendedNationalCommodityCodes` are provided then `extendedNationalCommodityCodes` takes precedence and `nationalCommodityCodes` must be ignored."
ConsignmentItemShipper,references,"ReferenceConsignmentItem list",,,,,"A list of `References`"
ConsignmentItemShipper,shippingMarks,"string list",,"maxItems=50
maxLength=35",,,"A list of the `ShippingMarks` applicable to this `consignmentItem`

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the customer."
ConsignmentItemShipper,shippingMarksForCustoms,"string list",,"maxItems=50
maxLength=35",,,"A list of the `ShippingMarks` provided specifically for customs filing purposes.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
The identifying details of a package or the actual markings that appear on the package(s) for customs filing purposes."
CustomsReference,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`."
CustomsReference,type,string,yes,maxLength=50,"^\S(?:.*\S)?$",CUS,"The reference type code as defined in the relevant customs jurisdiction."
CustomsReference,values,"string list",yes,"minItems=1
maxLength=35","^\S(?:.*\S)?$",,"
Item description:
The value of the `customsReference`"
"DestinationChargesPaymentTerm","haulageChargesPaymentTermCode",string,,,,PRE,"An indicator of whether the costs for inland transportation to the port, when applicable, are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)"
"DestinationChargesPaymentTerm","otherChargesPaymentTermCode",string,,,,PRE,"An indicator of whether destination charges (excluding port and haulage) are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)"
"DestinationChargesPaymentTerm","portChargesPaymentTermCode",string,,,,PRE,"An indicator of whether the destination port charges are prepaid (`PRE`) or collect (`COL`).

- `PRE` (Prepaid)
- `COL` (Collect)"
DocumentPartiesHouseBL,buyer,BuyerHBL,,,,,"The buyer is the last known entity to whom the goods are sold or agreed to be sold. If the goods are to be imported otherwise than in pursuance of a purchase, the details of the owner of the goods shall be provided.

**Condition:** Buyer and Seller are mandatory if `isCargoDeliveredInICS2Zone=true` (on House B/L level) and `manifesttypecode='ENS'` and `advancedManifestFilingPerformedBy='CARRIER'`."
DocumentPartiesHouseBL,consignee,ConsigneeHBL,,,,,"The ultimate recipient of the cargo. It must be different from the freight forwarder, (de)consolidator, postal operator, or customs agent."
DocumentPartiesHouseBL,notifyParty,NotifyPartyHBL,,,,,"The person to be notified when a shipment arrives at its destination.

**Condition:** Mandatory for To Order HBLs (HouseBL `isToOrder=true`)"
DocumentPartiesHouseBL,other,"OtherDocumentPartyHBL list",,,,,"A list of document parties that can be optionally provided in the `Shipping Instructions` as part of the House B/L."
DocumentPartiesHouseBL,seller,SellerHBL,,,,,"The seller is the last known entity by whom the goods are sold or agreed to be sold to the buyer. If the goods are to be imported otherwise than in pursuance of a purchase, the details of the owner of the goods shall be provided.

**Condition:** Buyer and Seller are mandatory if `isCargoDeliveredInICS2Zone=true` (on House B/L level) and `manifesttypecode='ENS'` and `advancedManifestFilingPerformedBy='CARRIER'`."
DocumentPartiesHouseBL,shipper,ShipperHBL,yes,,,,"The `Shipper` on the `House Bill of Lading`."
"DocumentPartiesShippingInstructions",buyer,Buyer,,,,,"The buyer is the last known entity to whom the goods are sold or agreed to be sold. If the goods are to be imported otherwise than in pursuance of a purchase, the details of the owner of the goods shall be provided.

**Condition:** Buyer and Seller are mandatory if `isCargoDeliveredInICS2Zone=true` and `manifesttypecode='ENS'` and `advancedManifestFilingPerformedBy='CARRIER'` and `isHouseBillofLadingsIssued=false`."
"DocumentPartiesShippingInstructions",consignee,ConsigneeShipper,,,,,"The party to which goods are consigned in the `Master Bill of Lading`.

**Condition:** Mandatory for non-negotiable BL (`isToOrder=false`)

**Condition:** Either the `address` or a party `identifyingCode` must be provided in the `Shipping Instructions`. If a `displayedAddress` is provided, it must be included in the `Transport Document` instead of the `address`."
"DocumentPartiesShippingInstructions",endorsee,EndorseeShipper,,,,,"The party to whom the title to the goods is transferred by means of endorsement.

**Condition:** Can only be provided for negotiable BLs (`isToOrder=true`). If a negotiable BL does not have an `Endorsee`, the BL is said to be ""blank endorsed"". Note `Consignee` and `Endorsee` are mutually exclusive.

**Condition:** Either the `address` or a party `identifyingCode` must be provided in the `Shipping Instructions`. If a `displayedAddress` is provided, it must be included in the `Transport Document` instead of the `address`."
"DocumentPartiesShippingInstructions",issueTo,IssueToParty,,,,,"The party to whom the `Bill of Lading` must be issued."
"DocumentPartiesShippingInstructions",notifyParties,"NotifyPartyShipper list",,maxItems=3,,,"List of up to 3 `Notify Parties`. The first item in the list is the **First Notify Party** (`N1`), the second item is the **Second Notify Party** (`N2`) and the last item is the **Other Notify Party** (`NI`).

**Condition:** If provided:
  - Mandatory for To Order BLs, `isToOrder=true`
  - The order of the items in this array **MUST** be preserved as by the provider of the API."
"DocumentPartiesShippingInstructions",onBehalfOfConsignee,"OnBehalfOfConsigneeShipper",,,,,"The party allowed to act on behalf of the consignee for documentation purposes.

**Condition:** Providers **or** consumers on API v3.0.2 (or earlier): Either the `address` or a party `identifyingCode` must be provided in the `Shipping Instructions`.

**Condition:** Providers **and** consumers on API v3.0.3 (or later): Either the `address`, `addressLines` or a party `identifyingCode` must be provided in the `Shipping Instructions`."
"DocumentPartiesShippingInstructions",onBehalfOfShipper,OnBehalfOfShipperShipper,,,,,"The party allowed to act on behalf of the shipper for documentation purposes.

**Condition:** Providers **or** consumers on API v3.0.2 (or earlier): Either the `address` or a party `identifyingCode` must be provided in the `Shipping Instructions`.

**Condition:** Providers **and** consumers on API v3.0.3 (or later): Either the `address`, `addressLines` or a party `identifyingCode` must be provided in the `Shipping Instructions`."
"DocumentPartiesShippingInstructions",other,"OtherDocumentPartyShippingInstructions list",,,,,"A list of document parties that can be optionally provided in the `Shipping Instructions` and `Transport Document`."
"DocumentPartiesShippingInstructions",seller,Seller,,,,,"The seller is the last known entity by whom the goods are sold or agreed to be sold to the buyer. If the goods are to be imported otherwise than in pursuance of a purchase, the details of the owner of the goods shall be provided.

**Condition:** Buyer and Seller are mandatory if `isCargoDeliveredInICS2Zone=true` and `manifesttypecode='ENS'` and `advancedManifestFilingPerformedBy='CARRIER'` and `isHouseBillofLadingsIssued=false`."
"DocumentPartiesShippingInstructions",shipper,ShipperShipper,yes,,,,"The party by whom or in whose name or on whose behalf a contract of carriage of goods by sea has been concluded with a carrier, or the party by whom or in whose name, or on whose behalf, the goods are actually delivered to the carrier in relation to the contract of carriage by sea.

**Condition:** Providers **or** consumers on API v3.0.2 (or earlier): Either the `address` or a party `identifyingCode` must be provided in the `Shipping Instructions`. If a `displayedAddress` is provided, it must be included in the `Transport Document` instead of the `address`.

**Condition:** Providers **and** consumers on API v3.0.3 (or later): Either the `address`, `addressLines` or a party `identifyingCode` must be provided in the `Shipping Instructions`. If a `displayedAddress` is provided, it must be included in the `Transport Document` instead of the `address` or `addressLines`."
"DocumentPartiesShippingInstructions","shippingInstructionsRequestor","ShippingInstructionsRequestor",,,,,"The requestor of whoever submits the `Shipping Instructions`.
**Condition:** Either the `address` or a party `identifyingCode` must be provided."
EndorseeShipper,address,PartyAddress,,,,,"Address where the party is located. It is an object of the attributes below."
EndorseeShipper,addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.

**Condition:** When communicating with providers **or** consumers implementing API **v3.0.2 or earlier**, a sender implementing API **v3.0.3 or later MUST NOT** use `addressLines` as the only property to identify the party. Recipients implementing earlier versions **MAY ignore** this property.
Item description:
One line of an unstructured `Address`."
EndorseeShipper,displayedAddress,"string list",,"maxItems=6
maxLength=35",,,"The address of the party to be displayed on the `Transport Document`. The displayed address may be used to match the address provided in the `Letter of Credit`.

**Conditions:** If provided:
  - the displayed address must be included in the `Transport Document`.
  - for physical BL (`isElectronic=false`), it is only allowed to provide max 2 lines of 35 characters. **Note:** Some carriers may choose to allow more lines, please consult the carrier's API documentation to check if this is the case.
  - for electronic BL (`isElectronic=true`), the limit is 6 lines of 35 characters
  - the order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A single address line"
EndorseeShipper,eblPlatform,string,,maxLength=4,"^\S+$",BOLE,"The eBL platform of the party. The value **MUST** be one of:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS - This value has been **deprecated**. Please use `IDT`)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `DOCU` (DocuTrade)
- `AEOT` (AEOTrade)
- `SGTD` (SGTraDex)"
EndorseeShipper,identifyingCodes,"IdentifyingCode list",,,,,"**Condition:** Either the `address` or a party `identifyingCode` must be provided."
EndorseeShipper,partyContactDetails,"PartyContactDetail list",,,,,"A list of contact details"
EndorseeShipper,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party."
EndorseeShipper,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`"
ExportLicenseShipper,expiryDate,"string(date)",,,,2024-09-21,"Expiry date of the `Export License`."
ExportLicenseShipper,isRequired,boolean,,,,true,"Information provided by the shipper to indicate whether an `Export License` or permit is required for this shipment/commodity/destination.

**Note:** If this property is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts."
