Path,Attribute,Type,Required,Size,Pattern,Example,Description
"DGDeclaration / consignmentItems / cargoItems / cargoNetWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / cargoNetWeight / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / equipmentReference",equipmentReference,string,,maxLength=11,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging",outerPackaging,OuterPackaging,,,,,"Packaging information for this cargo item."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods",dangerousGoods,"DangerousGoods list",,,,,"A list of `Dangerous Goods`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / additionalContainerCargoHandling","additionalContainerCargoHandling",string,,maxLength=500,,"To be handled with extreme care","Text field to provide cargo handling information already known at the booking stage."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / additionalRegulatoryStatements","additionalRegulatoryStatements","string list",,,,,"Additional mandatory regulatory wording required by IMDG special provisions, class rules, or competent authority approvals.
Item description:
Additional mandatory regulatory wording required by IMDG special provisions, class rules, or competent authority approvals."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / codedVariantList",codedVariantList,string,,maxLength=4,,2200,"Four-character code supplied by Exis Technologies that assists to remove ambiguities when identifying a variant within a single UN number or NA number that may occur when two companies exchange DG information.

Character | Valid Characters | Description
:--------:|------------------|------------
1| 0, 1, 2, 3|The packing group. Code 0 indicates there is no packing group
2|0 to 9 and A to Z|A sequence letter for the PSN, or 0 if there were no alternative PSNs
3 and 4|0 to 9 and A to Z|Two sequence letters for other information, for the cases where the variant is required because of different in subrisks, packing instruction etc."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / competentAuthorityApproval","competentAuthorityApproval",string,,maxLength=500,,"{Name and reference...}","Name and reference number of the competent authority providing the approval."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / dateOfPackingIntoPackagings","dateOfPackingIntoPackagings","string(date)",,,,2025-01-23,"Date on which the material was packed into the packaging. Required for UN 1361."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / dateOfProduction",dateOfProduction,"string(date)",,,,2025-01-23,"Production date of the material. Required for UN 1361."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / emergencyContactDetails",emergencyContactDetails,EmergencyContactDetails,,,,,"24 hr emergency contact details"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / emergencyContactDetails / contact",contact,string,,maxLength=100,,"Jane Doe","Name of the contact person during an emergency."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / emergencyContactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Phone number for the contact, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en)."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / emergencyContactDetails / provider",provider,string,,maxLength=100,,"ACME Inc","Name of the third party vendor providing emergency support"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / emergencyContactDetails / referenceNumber",referenceNumber,string,,maxLength=100,,12234,"Contract reference for the emergency support provided by an external third party vendor."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / EMSNumber",EMSNumber,string,,maxLength=7,,"F-A S-Q","The emergency schedule identified in the IMO EmS Guide — Emergency Response Procedures for Ships Carrying Dangerous Goods. Comprises 2 values; 1 for spillage and 1 for fire. Possible values spillage: S-A to S-Z. Possible values fire: F-A to F-Z."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / endOfHoldingTime",endOfHoldingTime,"string(date)",,,,2025-01-23,"Date by when the refrigerated liquid needs to be delivered."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / fireworkClassificationReferences","fireworkClassificationReferences","string list",,,,,"Classification reference(s) issued by the competent authority for fireworks transported under UN Nos. 0333, 0334, 0335, 0336, and 0337.

The classification reference(s) shall consist of the competent authority's state, indicated by the distinguishing sign used on vehicles in international road traffic, the competent authority identification and a unique serial reference.
Item description:
Classification reference(s) issued by the competent authority for fireworks transported under UN Nos. 0333, 0334, 0335, 0336, and 0337.

The classification reference(s) shall consist of the competent authority's state, indicated by the distinguishing sign used on vehicles in international road traffic, the competent authority identification and a unique serial reference.
"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / fumigationDateTime",fumigationDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"Date & time when the container was fumigated"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / grossWeight",grossWeight,Weight,,,,,"Total weight of the goods carried, including packaging."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / grossWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / grossWeight / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / IMOClass",IMOClass,string,,maxLength=4,,1.4S,"The hazard class code of the referenced dangerous goods according to the specified regulation. Examples of possible values are:

- `1.1A` (Substances and articles which have a mass explosion hazard)
- `1.6N` (Extremely insensitive articles which do not have a mass explosion hazard)
- `2.1` (Flammable gases)
- `8` (Corrosive substances)"
