Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
VGMDeclaration,,,,,,,,
"VGMDeclaration / authorizedParty",authorizedParty,PartyDetails,,,,,"Party authorized to act on behalf of the `responsibleParty`.",
"VGMDeclaration / authorizedParty / address",address,Address,,,,,"An object for storing address-related information.",
"VGMDeclaration / authorizedParty / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`.",
"VGMDeclaration / authorizedParty / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / authorizedParty / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / authorizedParty / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / authorizedParty / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / authorizedParty / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / authorizedParty / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / authorizedParty / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / authorizedParty / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / authorizedParty / contactDetails",contactDetails,ContactDetails,,,,,"The contact details of a person.",
"VGMDeclaration / authorizedParty / contactDetails / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"VGMDeclaration / authorizedParty / contactDetails / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"VGMDeclaration / authorizedParty / contactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"VGMDeclaration / authorizedParty / party",party,Party,,,,,"Identification of a container shipping party",
"VGMDeclaration / authorizedParty / party / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / authorizedParty / party / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `SMDG` (Ship Message Design Group)
- `ZZZ` (Mutually defined)

or any other code as defined in the
[DCSA Code List Providers](https://dcsa.atlassian.net/wiki/external/ZjA4M2I3MjA4MDg1NDEwYzlkYTcxNDRhYWQwNzFiYzY).",
"VGMDeclaration / authorizedParty / party / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / authorizedParty / party / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/EDIFACT 16A 3035](https://unece.org/fileadmin/DAM/trade/untdid/d16a/tred/tred3035.htm)
or a subsequent revision.",
"VGMDeclaration / authorizedParty / partyName",partyName,string,,maxLength=70,,"Acme Inc.","Party name",
