Object,Attribute,Type,Required,Size,Pattern,Example,Description
TransportCall,transportCallReference,string,yes,maxLength=100,,"SR11111X-9321483-2107W-NLAMS-ACT-1-1","The unique reference for a transport call. It's the vessel operator's responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator."
TransportCall,"universalExportVoyageReference",string,,,"^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`
- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip)."
TransportCall,"universalImportVoyageReference",string,,,"^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the import Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`
- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip)."
UNLocationLocation,locationName,string,,maxLength=100,"^\S+(\s+\S+)*$","Port of Amsterdam","The name of the location."
UNLocationLocation,locationType,string,yes,maxLength=4,,UNLO,"Discriminator used to identify this as a `UNLocation` location interface."
UNLocationLocation,UNLocationCode,string,yes,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

 - 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
 - 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)"
VesselSchedule,isDummyVessel,boolean,yes,,,,"Is this a dummy vessel? In case no vessel has been assigned yet - this property can be set to `true` indicating that the `vesselIMONumber`/`MMSINumber` does not exist.

When `true`, the `vesselName` must be used as a unique identifier for the dummy vessel. See the `vesselName` field description for the recommended naming convention."
VesselSchedule,MMSINumber,string,,"minLength=9
maxLength=9","^\d{9}$",278111222,"Maritime Mobile Service Identities (MMSIs) are nine-digit numbers used by maritime digital selective calling (DSC), automatic identification systems (AIS) and certain other equipment to uniquely identify a ship or a coast radio station.

**Condition:** If `isDummyVessel` is `false` - at least one of `vesselIMONumber` or `MMSINumber` **MUST** be specified in order to identify the `Vessel`. It is also acceptable to provide both properties.  If `isDummyVessel` is `true` it is optional to provide this property.

**Condition:** It is only possible to use this property in case the requester is on version `3.0.1` or later or `vesselIMONumber` is also provided. In case the requester is on version `3.0.0` (indicated by the `APIVersion` header being blank or containing the value `3`) - this property cannot be used unless `vesselIMONumber` is also present."
VesselSchedule,transportCalls,"TransportCall list",,,,,
VesselSchedule,vesselCallSign,string,,maxLength=10,,NCVV,"A unique alphanumeric identity that belongs to the vessel and is assigned by the International Telecommunication Union (ITU). It consists of a threeletter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a vessel changes its flag."
VesselSchedule,vesselIMONumber,string,,maxLength=7,"^\d{7}$",9321483,"The unique reference for a registered Vessel. The reference is the International Maritime Organisation (IMO) number, also sometimes known as the Lloyd's register code, which does not change during the lifetime of the vessel

**Condition:** If `isDummyVessel` is `false` - at least one of `vesselIMONumber` or `MMSINumber` **MUST** be specified in order to identify the `Vessel`. It is also acceptable to provide both properties. If `isDummyVessel` is `true` it is optional to provide this property.

**Condition:** Please note that if the requester is on a version `3.0.0` (indicated by the `APIVersion` being blank or containing the value `3`) and it is not a dummy vessel (`isDummyVessel: false`) then this property **MUST** be present."
VesselSchedule,vesselName,string,,maxLength=35,,"King of the Seas","The name of the Vessel given by the Vessel Operator and registered with IMO.

**Note:** In case the vessel is a ""dummy vessel"" (`isDummyVessel='true'`) then the following recommendations should be followed:

Dummy vessel names should begin with the **SMDG Operating Carrier Code** to ensure uniqueness across carriers.
The suffix can be **alphanumeric** and up to **10 characters long**, allowing each carrier to use internal naming conventions (e.g., `MSKTBN1`, `CMATEMP01`, `MSCX01A`).

This approach:
- Ensures consistency and uniqueness across carriers
- Allows flexibility in local implementations
- Avoids the need to assign dummy IMO numbers
- Maintains the role of the dummy vessel name as a **stable and persistent identifier** throughout the planning process"
VesselSchedule,"vesselOperatorSMDGLinerCode",string,yes,maxLength=10,,HLC,"The carrier who is in charge of the vessel operation based on the SMDG code.

If not available at the moment of sharing the schedule, use `TBD` (To be defined).

In the case an operator is still using a code not from SMDG, use the available code."
